Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
69,12/25/2006,17,20,4,2072,103,1260,315,"['Avraham Balila Ruhama', 'Erdan Gilad', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Gafni Moshe', 'Whbee Majallie', 'Vaknin Yitzhak', 'Zeev Nissim', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Itzchaky Avigdor', 'Cohen Amnon', 'Levy Yitzhak', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Shemtov Lia', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1030, 'Erdan Gilad': 0, 'Barakeh Mohammad': 324, 'Gabbay Eliahu': 0, 'Galon Zehava': 162, 'Galantee Itshac': 15, 'Gafni Moshe': 0, 'Whbee Majallie': 0, 'Vaknin Yitzhak': 0, 'Zeev Nissim': 0, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tibi Ahmad': 43, 'Tartman Esterina': 5, 'Itzchaky Avigdor': 384, 'Cohen Amnon': 0, 'Levy Yitzhak': 0, 'Margi Yakov': 47, 'Marciano Yoram': 144, 'Sa`ar Gideon': 670, 'Porush Meir': 0, 'Rivlin Reuven': 330, 'Shemtov Lia': 63, 'Sharoni Moshe': 115}",17_ptv_132888.json,
7,12/26/2006,17,24,4,5599,233,2765,691,"['Avraham Balila Ruhama', 'Avital Colette', 'Orlev Zevulun', 'Azoulay David', 'Eldad Arieh', 'Breznitz Shlomo', 'Barakeh Mohammad', 'Galantee Itshac', 'Gafni Moshe', 'Whbee Majallie', 'Vilan Avshalom', 'Zeev Nissim', 'Hilou Nadia', 'Khenin Dov', 'Hasson Yoel', 'Tibi Ahmad', 'Yachimovich Shelly', 'Yatom Dani', 'Itzchaky Avigdor', 'Cohen Amnon', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Majadele Raleb', 'Porush Meir', 'Ravitz Avraham', 'Rivlin Reuven', 'Steinitz Yuval']","{'Avraham Balila Ruhama': 2711, 'Avital Colette': 54, 'Orlev Zevulun': 89, 'Azoulay David': 169, 'Eldad Arieh': 164, 'Breznitz Shlomo': 49, 'Barakeh Mohammad': 487, 'Galantee Itshac': 119, 'Gafni Moshe': 64, 'Whbee Majallie': 17, 'Vilan Avshalom': 178, 'Zeev Nissim': 0, 'Hilou Nadia': 0, 'Khenin Dov': 458, 'Hasson Yoel': 270, 'Tibi Ahmad': 225, 'Yachimovich Shelly': 0, 'Yatom Dani': 274, 'Itzchaky Avigdor': 349, 'Cohen Amnon': 0, 'Margi Yakov': 171, 'Marciano Yoram': 200, 'Sa`ar Gideon': 551, 'Majadele Raleb': 308, 'Porush Meir': 41, 'Ravitz Avraham': 44, 'Rivlin Reuven': 940, 'Steinitz Yuval': 432}",17_ptv_132889.json,
6,12/25/2006,17,15,3,1607,107,1192,397,"['Avraham Balila Ruhama', 'Azoulay David', 'Ariel Uri Yehuda', 'Barakeh Mohammad', 'Galon Zehava', 'Whbee Majallie', 'Vaknin Yitzhak', 'Tibi Ahmad', 'Tal David', 'Tartman Esterina', 'Itzchaky Avigdor', 'Cohen Amnon', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 441, 'Azoulay David': 44, 'Ariel Uri Yehuda': 0, 'Barakeh Mohammad': 120, 'Galon Zehava': 124, 'Whbee Majallie': 46, 'Vaknin Yitzhak': 0, 'Tibi Ahmad': 90, 'Tal David': 0, 'Tartman Esterina': 627, 'Itzchaky Avigdor': 0, 'Cohen Amnon': 125, 'Margi Yakov': 184, 'Marciano Yoram': 245, 'Sa`ar Gideon': 278, 'Porush Meir': 68, 'Rivlin Reuven': 407, 'Sharoni Moshe': 0}",17_ptv_132890.json,
71,12/26/2006,17,10,4,313,31,436,109,"['Avraham Balila Ruhama', 'Azoulay David', 'Ilatov Robert', 'Erdan Gilad', 'Ben-Sasson Menahem', 'Galon Zehava', 'Hilou Nadia', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Cohen Amnon', 'Marciano Yoram', 'Sa`ar Gideon', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 395, 'Azoulay David': 0, 'Ilatov Robert': 0, 'Erdan Gilad': 0, 'Ben-Sasson Menahem': 0, 'Galon Zehava': 0, 'Hilou Nadia': 41, 'Hasson Yoel': 0, 'Tibi Ahmad': 0, 'Tartman Esterina': 0, 'Cohen Amnon': 0, 'Marciano Yoram': 23, 'Sa`ar Gideon': 290, 'Sharoni Moshe': 0}",17_ptv_132940.json,
72,12/27/2006,17,15,4,397,26,734,183,"['Avraham Balila Ruhama', 'Avital Colette', 'Azoulay David', 'Oron Chaim', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galantee Itshac', 'Gafni Moshe', 'Whbee Majallie', 'Hilou Nadia', 'Hermesh Shai', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Shemtov Lia', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 715, 'Avital Colette': 0, 'Azoulay David': 0, 'Oron Chaim': 12, 'Barakeh Mohammad': 66, 'Gabbay Eliahu': 0, 'Galantee Itshac': 0, 'Gafni Moshe': 0, 'Whbee Majallie': 30, 'Hilou Nadia': 19, 'Hermesh Shai': 0, 'Itzchaky Avigdor': 0, 'Margi Yakov': 0, 'Marciano Yoram': 0, 'Sa`ar Gideon': 209, 'Porush Meir': 55, 'Rivlin Reuven': 22, 'Shemtov Lia': 0, 'Sharoni Moshe': 3}",17_ptv_132941.json,
73,01/01/2007,17,12,3,2174,181,1563,521,"['Avraham Balila Ruhama', 'Avital Colette', 'Erdan Gilad', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hermesh Shai', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1193, 'Avital Colette': 5, 'Erdan Gilad': 198, 'Ariel Uri Yehuda': 86, 'Gabbay Eliahu': 0, 'Galon Zehava': 365, 'Galantee Itshac': 124, 'Zeev Nissim': 86, 'Hermesh Shai': 0, 'Itzchaky Avigdor': 905, 'Margi Yakov': 2, 'Marciano Yoram': 270, 'Sa`ar Gideon': 203, 'Porush Meir': 122, 'Sharoni Moshe': 178}",17_ptv_132942.json,
7,12/26/2006,17,5,2,2117,423,860,430,"['Avraham Balila Ruhama', 'Tartman Esterina', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 563, 'Tartman Esterina': 297, 'Margi Yakov': 145, 'Marciano Yoram': 637, 'Sa`ar Gideon': 1043, 'Porush Meir': 183, 'Sharoni Moshe': 109}",17_ptv_132943.json,
8,12/26/2006,17,10,4,13,1,438,109,"['Avraham Balila Ruhama', 'Azoulay David', 'Ilatov Robert', 'Erdan Gilad', 'Ben-Sasson Menahem', 'Galon Zehava', 'Hilou Nadia', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Cohen Amnon', 'Marciano Yoram', 'Sa`ar Gideon', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 432, 'Azoulay David': 0, 'Ilatov Robert': 0, 'Erdan Gilad': 0, 'Ben-Sasson Menahem': 0, 'Galon Zehava': 0, 'Hilou Nadia': 6, 'Hasson Yoel': 0, 'Tibi Ahmad': 0, 'Tartman Esterina': 0, 'Cohen Amnon': 0, 'Marciano Yoram': 0, 'Sa`ar Gideon': 13, 'Sharoni Moshe': 0}",17_ptv_132944.json,
74,01/02/2007,17,4,3,0,0,142,47,"['Avraham Balila Ruhama', 'Avital Colette', 'Margi Yakov', 'Solodkin Marina', 'Sa`ar Gideon', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 133, 'Avital Colette': 9, 'Margi Yakov': 0, 'Solodkin Marina': 0, 'Sa`ar Gideon': 0, 'Rivlin Reuven': 0, 'Sharoni Moshe': 0}",17_ptv_132972.json,
75,01/08/2007,17,11,6,1077,97,896,149,"['Avraham Balila Ruhama', 'Avital Colette', 'Ariel Uri Yehuda', 'Galantee Itshac', 'Whbee Majallie', 'Hilou Nadia', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Katz Haim', 'Margi Yakov', 'Marciano Yoram', 'Solodkin Marina', 'Sa`ar Gideon', 'Pines-Paz Ophir', 'Porush Meir', 'Shemtov Lia']","{'Avraham Balila Ruhama': 800, 'Avital Colette': 0, 'Ariel Uri Yehuda': 189, 'Galantee Itshac': 0, 'Whbee Majallie': 77, 'Hilou Nadia': 0, 'Hasson Yoel': 0, 'Tibi Ahmad': 50, 'Tartman Esterina': 96, 'Katz Haim': 80, 'Margi Yakov': 44, 'Marciano Yoram': 226, 'Solodkin Marina': 0, 'Sa`ar Gideon': 368, 'Pines-Paz Ophir': 8, 'Porush Meir': 35, 'Shemtov Lia': 0}",17_ptv_132993.json,
76,01/09/2007,17,12,6,1192,99,2937,489,"['Avraham Balila Ruhama', 'Avital Colette', 'Azoulay David', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galantee Itshac', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Hermesh Shai', 'Tartman Esterina', 'Yachimovich Shelly', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Shemtov Lia']","{'Avraham Balila Ruhama': 2347, 'Avital Colette': 99, 'Azoulay David': 0, 'Ariel Uri Yehuda': 0, 'Gabbay Eliahu': 0, 'Galantee Itshac': 0, 'Whbee Majallie': 83, 'Zeev Nissim': 0, 'Hilou Nadia': 85, 'Hermesh Shai': 0, 'Tartman Esterina': 0, 'Yachimovich Shelly': 406, 'Itzchaky Avigdor': 0, 'Margi Yakov': 0, 'Marciano Yoram': 381, 'Sa`ar Gideon': 714, 'Porush Meir': 14, 'Shemtov Lia': 0}",17_ptv_132994.json,
77,01/15/2007,17,11,3,535,48,1353,451,"['Avraham Balila Ruhama', 'Avital Colette', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galantee Itshac', 'Zeev Nissim', 'Tartman Esterina', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Ravitz Avraham', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1010, 'Avital Colette': 0, 'Ariel Uri Yehuda': 7, 'Gabbay Eliahu': 0, 'Galantee Itshac': 5, 'Zeev Nissim': 0, 'Tartman Esterina': 343, 'Itzchaky Avigdor': 64, 'Margi Yakov': 248, 'Marciano Yoram': 90, 'Sa`ar Gideon': 0, 'Porush Meir': 0, 'Ravitz Avraham': 121, 'Sharoni Moshe': 0}",17_ptv_133050.json,
79,01/17/2007,17,3,3,515,171,1462,487,"['Avraham Balila Ruhama', 'Avital Colette', 'Barakeh Mohammad', 'Hermesh Shai', 'Margi Yakov', 'Shemtov Lia']","{'Avraham Balila Ruhama': 845, 'Avital Colette': 617, 'Barakeh Mohammad': 0, 'Hermesh Shai': 299, 'Margi Yakov': 216, 'Shemtov Lia': 0}",17_ptv_133051.json,
8,1/22/2007,17,10,3,572,57,861,287,"['Avraham Balila Ruhama', 'Avital Colette', 'Erdan Gilad', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Hasson Yoel', 'Hermesh Shai', 'Itzchaky Avigdor', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 825, 'Avital Colette': 0, 'Erdan Gilad': 0, 'Ariel Uri Yehuda': 0, 'Gabbay Eliahu': 0, 'Galon Zehava': 36, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Itzchaky Avigdor': 274, 'Marciano Yoram': 173, 'Sa`ar Gideon': 33, 'Porush Meir': 8, 'Sharoni Moshe': 84}",17_ptv_133084.json,
81,01/23/2007,17,6,3,858,143,1882,627,"['Avraham Balila Ruhama', 'Whbee Majallie', 'Sa`ar Gideon', 'Gabbay Eliahu', 'Tibi Ahmad', 'Erdan Gilad', 'Shemtov Lia', 'Avital Colette', 'Zeev Nissim']","{'Avraham Balila Ruhama': 1722, 'Whbee Majallie': 52, 'Sa`ar Gideon': 174, 'Gabbay Eliahu': 164, 'Tibi Ahmad': 390, 'Erdan Gilad': 78, 'Shemtov Lia': 0, 'Avital Colette': 160, 'Zeev Nissim': 0}",17_ptv_133085.json,
82,01/25/2007,17,14,7,10683,763,5852,836,"['Avraham Balila Ruhama', 'Avital Colette', 'Azoulay David', 'Erdan Gilad', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Shemtov Lia', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1641, 'Avital Colette': 318, 'Azoulay David': 656, 'Erdan Gilad': 1342, 'Barakeh Mohammad': 827, 'Gabbay Eliahu': 426, 'Galon Zehava': 1168, 'Galantee Itshac': 689, 'Zeev Nissim': 1048, 'Hilou Nadia': 501, 'Hasson Yoel': 834, 'Hermesh Shai': 597, 'Tibi Ahmad': 862, 'Tartman Esterina': 990, 'Yachimovich Shelly': 1187, 'Itzchaky Avigdor': 817, 'Margi Yakov': 595, 'Marciano Yoram': 661, 'Sa`ar Gideon': 949, 'Shemtov Lia': 47, 'Sharoni Moshe': 380}",17_ptv_133153.json,
83,01/29/2007,17,18,6,6379,354,1996,332,"['Itzchaky Avigdor', 'Azoulay David', 'Eitan Michael', 'Barakeh Mohammad', 'Galon Zehava', 'Gabbay Eliahu', 'Galantee Itshac', 'Hendel Zvi', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Khenin Dov', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Yachimovich Shelly', 'Livnat Limor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Rotem David', 'Shemtov Lia', 'Sharoni Moshe', 'Tirosh Ronit']","{'Itzchaky Avigdor': 2704, 'Azoulay David': 3, 'Eitan Michael': 1104, 'Barakeh Mohammad': 0, 'Galon Zehava': 1361, 'Gabbay Eliahu': 0, 'Galantee Itshac': 10, 'Hendel Zvi': 120, 'Whbee Majallie': 0, 'Zeev Nissim': 536, 'Hilou Nadia': 66, 'Khenin Dov': 487, 'Hasson Yoel': 0, 'Hermesh Shai': 368, 'Tibi Ahmad': 136, 'Yachimovich Shelly': 217, 'Livnat Limor': 270, 'Margi Yakov': 68, 'Marciano Yoram': 78, 'Sa`ar Gideon': 652, 'Rotem David': 94, 'Shemtov Lia': 10, 'Sharoni Moshe': 19, 'Tirosh Ronit': 72}",17_ptv_133154.json,
84,01/30/2007,17,14,5,8723,623,1524,304,"['Itzchaky Avigdor', 'Margi Yakov', 'Sa`ar Gideon', 'Avital Colette', 'Azoulay David', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Yachimovich Shelly', 'Marciano Yoram', 'Shemtov Lia', 'Sharoni Moshe']","{'Itzchaky Avigdor': 3444, 'Margi Yakov': 239, 'Sa`ar Gideon': 3066, 'Avital Colette': 535, 'Azoulay David': 0, 'Ariel Uri Yehuda': 0, 'Gabbay Eliahu': 0, 'Galon Zehava': 0, 'Galantee Itshac': 336, 'Whbee Majallie': 195, 'Zeev Nissim': 760, 'Hilou Nadia': 0, 'Hasson Yoel': 24, 'Hermesh Shai': 355, 'Tibi Ahmad': 181, 'Yachimovich Shelly': 989, 'Marciano Yoram': 28, 'Shemtov Lia': 0, 'Sharoni Moshe': 95}",17_ptv_133155.json,
85,2/5/2007,17,13,3,1070,82,1335,445,"['Avraham Balila Ruhama', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galantee Itshac', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Rivlin Reuven', 'Shemtov Lia', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1325, 'Ariel Uri Yehuda': 7, 'Gabbay Eliahu': 20, 'Galantee Itshac': 0, 'Whbee Majallie': 0, 'Zeev Nissim': 45, 'Hilou Nadia': 10, 'Hasson Yoel': 0, 'Hermesh Shai': 2, 'Itzchaky Avigdor': 799, 'Margi Yakov': 0, 'Marciano Yoram': 21, 'Sa`ar Gideon': 40, 'Rivlin Reuven': 41, 'Shemtov Lia': 0, 'Sharoni Moshe': 95}",17_ptv_133199.json,
86,02/06/2007,17,8,1,1246,155,1318,1318,"['Avraham Balila Ruhama', 'Azoulay David', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galantee Itshac', 'Whbee Majallie', 'Hermesh Shai', 'Margi Yakov', 'Sa`ar Gideon']","{'Avraham Balila Ruhama': 1318, 'Azoulay David': 149, 'Ariel Uri Yehuda': 39, 'Gabbay Eliahu': 95, 'Galantee Itshac': 0, 'Whbee Majallie': 129, 'Hermesh Shai': 0, 'Margi Yakov': 90, 'Sa`ar Gideon': 744}",17_ptv_133200.json,
87,02/07/2007,17,7,4,29,4,471,117,"['Avraham Balila Ruhama', 'Avital Colette', 'Azoulay David', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Gafni Moshe', 'Hilou Nadia', 'Tartman Esterina', 'Margi Yakov', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 418, 'Avital Colette': 40, 'Azoulay David': 0, 'Ariel Uri Yehuda': 3, 'Gabbay Eliahu': 3, 'Gafni Moshe': 0, 'Hilou Nadia': 0, 'Tartman Esterina': 13, 'Margi Yakov': 23, 'Porush Meir': 0, 'Sharoni Moshe': 0}",17_ptv_133202.json,
88,2/12/2007,17,6,3,1395,232,1954,651,"['Avraham Balila Ruhama', 'Gabbay Eliahu', 'Galon Zehava', 'Zeev Nissim', 'Hilou Nadia', 'Hermesh Shai', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir']","{'Avraham Balila Ruhama': 1598, 'Gabbay Eliahu': 0, 'Galon Zehava': 356, 'Zeev Nissim': 692, 'Hilou Nadia': 0, 'Hermesh Shai': 0, 'Marciano Yoram': 0, 'Sa`ar Gideon': 671, 'Porush Meir': 32}",17_ptv_133262.json,
89,02/13/2007,17,15,6,3766,251,1575,262,"['Avraham Balila Ruhama', 'Avital Colette', 'Orlev Zevulun', 'Eldad Arieh', 'Erdan Gilad', 'Ben-Sasson Menahem', 'Galon Zehava', 'Galantee Itshac', 'Gafni Moshe', 'Ziv Izhak', 'Khenin Dov', 'Hermesh Shai', 'Tibi Ahmad', 'Livnat Limor', 'Levy Yitzhak', 'Margi Yakov', 'Solodkin Marina', 'Sa`ar Gideon', 'Porush Meir', 'Steinitz Yuval', 'Shemtov Lia']","{'Avraham Balila Ruhama': 1068, 'Avital Colette': 31, 'Orlev Zevulun': 0, 'Eldad Arieh': 121, 'Erdan Gilad': 669, 'Ben-Sasson Menahem': 0, 'Galon Zehava': 476, 'Galantee Itshac': 278, 'Gafni Moshe': 201, 'Ziv Izhak': 60, 'Khenin Dov': 335, 'Hermesh Shai': 333, 'Tibi Ahmad': 339, 'Livnat Limor': 0, 'Levy Yitzhak': 0, 'Margi Yakov': 180, 'Solodkin Marina': 0, 'Sa`ar Gideon': 824, 'Porush Meir': 405, 'Steinitz Yuval': 21, 'Shemtov Lia': 0}",17_ptv_133265.json,
9,02/14/2007,17,15,7,3900,260,5496,785,"['Avraham Balila Ruhama', 'Avital Colette', 'Eitan Michael', 'Erdan Gilad', 'Azoulay David', 'Gabbay Eliahu', 'Margi Yakov', 'Galantee Itshac', 'Galon Zehava', 'Hendel Zvi', 'Whbee Majallie', 'Zeev Nissim', 'Khenin Dov', 'Hermesh Shai', 'Tibi Ahmad', 'Yachimovich Shelly', 'Livnat Limor', 'Marciano Yoram', 'Porush Meir', 'Sa`ar Gideon', 'Shemtov Lia', 'Tirosh Ronit']","{'Avraham Balila Ruhama': 2267, 'Avital Colette': 0, 'Eitan Michael': 388, 'Erdan Gilad': 42, 'Azoulay David': 468, 'Gabbay Eliahu': 0, 'Margi Yakov': 447, 'Galantee Itshac': 0, 'Galon Zehava': 1185, 'Hendel Zvi': 760, 'Whbee Majallie': 81, 'Zeev Nissim': 28, 'Khenin Dov': 37, 'Hermesh Shai': 81, 'Tibi Ahmad': 155, 'Yachimovich Shelly': 129, 'Livnat Limor': 1275, 'Marciano Yoram': 29, 'Porush Meir': 17, 'Sa`ar Gideon': 1367, 'Shemtov Lia': 0, 'Tirosh Ronit': 640}",17_ptv_133267.json,
91,2/19/2007,17,4,3,3,0,188,62,"['Avraham Balila Ruhama', 'Galon Zehava', 'Zeev Nissim', 'Hilou Nadia', 'Tibi Ahmad', 'Margi Yakov', 'Porush Meir']","{'Avraham Balila Ruhama': 188, 'Galon Zehava': 0, 'Zeev Nissim': 3, 'Hilou Nadia': 0, 'Tibi Ahmad': 0, 'Margi Yakov': 0, 'Porush Meir': 0}",17_ptv_133306.json,
92,02/20/2007,17,21,6,3287,156,2369,394,"['Avraham Balila Ruhama', 'Avital Colette', 'Azoulay David', 'Erdan Gilad', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Vilan Avshalom', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Itzchaky Avigdor', 'Cohen Yakov', 'Misezhnikov Stas', 'Margi Yakov', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe', 'Aharonovitch Yitzhak', 'Tal David', 'Miller Alex']","{'Avraham Balila Ruhama': 1385, 'Avital Colette': 92, 'Azoulay David': 0, 'Erdan Gilad': 0, 'Ariel Uri Yehuda': 126, 'Gabbay Eliahu': 277, 'Galon Zehava': 30, 'Vilan Avshalom': 17, 'Galantee Itshac': 300, 'Zeev Nissim': 74, 'Hilou Nadia': 0, 'Hasson Yoel': 174, 'Hermesh Shai': 0, 'Tibi Ahmad': 144, 'Tartman Esterina': 351, 'Yachimovich Shelly': 511, 'Itzchaky Avigdor': 752, 'Cohen Yakov': 7, 'Misezhnikov Stas': 0, 'Margi Yakov': 139, 'Sa`ar Gideon': 656, 'Porush Meir': 82, 'Rivlin Reuven': 124, 'Sharoni Moshe': 0, 'Aharonovitch Yitzhak': 145, 'Tal David': 163, 'Miller Alex': 107}",17_ptv_133307.json,
93,02/21/2007,17,17,7,5616,330,4620,660,"['Avraham Balila Ruhama', 'Azoulay David', 'Eitan Michael', 'Erdan Gilad', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Hendel Zvi', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Itzchaky Avigdor', 'Livnat Limor', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Shemtov Lia', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1990, 'Azoulay David': 0, 'Eitan Michael': 2233, 'Erdan Gilad': 422, 'Gabbay Eliahu': 50, 'Galon Zehava': 713, 'Galantee Itshac': 173, 'Hendel Zvi': 429, 'Whbee Majallie': 0, 'Zeev Nissim': 131, 'Hilou Nadia': 152, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tibi Ahmad': 6, 'Tartman Esterina': 756, 'Yachimovich Shelly': 266, 'Itzchaky Avigdor': 503, 'Livnat Limor': 743, 'Margi Yakov': 63, 'Marciano Yoram': 20, 'Sa`ar Gideon': 1447, 'Porush Meir': 18, 'Shemtov Lia': 0, 'Sharoni Moshe': 121}",17_ptv_133308.json,
94,02/26/2007,17,8,3,444,55,1045,348,"['Avraham Balila Ruhama', 'Avital Colette', 'Aharonovitch Yitzhak', 'Ariel Uri Yehuda', 'Erdan Gilad', 'Galon Zehava', 'Zeev Nissim', 'Tibi Ahmad', 'Margi Yakov', 'Sa`ar Gideon', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 933, 'Avital Colette': 0, 'Aharonovitch Yitzhak': 0, 'Ariel Uri Yehuda': 0, 'Erdan Gilad': 137, 'Galon Zehava': 112, 'Zeev Nissim': 104, 'Tibi Ahmad': 0, 'Margi Yakov': 23, 'Sa`ar Gideon': 152, 'Sharoni Moshe': 28}",17_ptv_133376.json,
96,02/27/2007,17,4,1,96,24,0,0,"['Margi Yakov', 'Avital Colette', 'Zeev Nissim', 'Cohen Amnon', 'Sharoni Moshe']","{'Margi Yakov': 68, 'Avital Colette': 0, 'Zeev Nissim': 0, 'Cohen Amnon': 10, 'Sharoni Moshe': 18}",17_ptv_133377.json,
95,02/26/2007,17,4,1,7,1,88,88,"['Avraham Balila Ruhama', 'Whbee Majallie', 'Hasson Yoel', 'Galantee Itshac', 'Cohen Yakov']","{'Avraham Balila Ruhama': 88, 'Whbee Majallie': 0, 'Hasson Yoel': 7, 'Galantee Itshac': 0, 'Cohen Yakov': 0}",17_ptv_133398.json,
97,02/28/2007,17,14,2,1092,78,95,47,"['Margi Yakov', 'Avital Colette', 'Azoulay David', 'Erdan Gilad', 'Ariel Uri Yehuda', 'Whbee Majallie', 'Zeev Nissim', 'Hasson Yoel', 'Hilou Nadia', 'Tibi Ahmad', 'Itzchaky Avigdor', 'Cohen Amnon', 'Nudelman Michael', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Margi Yakov': 154, 'Avital Colette': 95, 'Azoulay David': 126, 'Erdan Gilad': 3, 'Ariel Uri Yehuda': 58, 'Whbee Majallie': 0, 'Zeev Nissim': 0, 'Hasson Yoel': 0, 'Hilou Nadia': 0, 'Tibi Ahmad': 10, 'Itzchaky Avigdor': 163, 'Cohen Amnon': 13, 'Nudelman Michael': 0, 'Sa`ar Gideon': 407, 'Porush Meir': 125, 'Sharoni Moshe': 33}",17_ptv_133411.json,
98,03/06/2007,17,10,3,288,28,524,174,"['Avraham Balila Ruhama', 'Hasson Yoel', 'Hermesh Shai', 'Avital Colette', 'Marciano Yoram', 'Hilou Nadia', 'Margi Yakov', 'Sharoni Moshe', 'Galantee Itshac', 'Porush Meir', 'Sa`ar Gideon', 'Rivlin Reuven', 'Erdan Gilad']","{'Avraham Balila Ruhama': 524, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Avital Colette': 0, 'Marciano Yoram': 0, 'Hilou Nadia': 0, 'Margi Yakov': 0, 'Sharoni Moshe': 8, 'Galantee Itshac': 0, 'Porush Meir': 9, 'Sa`ar Gideon': 181, 'Rivlin Reuven': 90, 'Erdan Gilad': 0}",17_ptv_133440.json,
