Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
21,10/25/1999,15,10,2,1305,130,52,26,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Landver Sofa', 'Milo Roni', 'Pines-Paz Ophir', 'Sheetrit Meir', 'Simhon Shalom', 'Rivlin Reuven']","{'Tarif Salah': 275, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 453, 'Ze`evi Rechavam': 333, 'Chazan Naomi': 52, 'Levy Maxim': 0, 'Landver Sofa': 0, 'Milo Roni': 0, 'Pines-Paz Ophir': 0, 'Sheetrit Meir': 156, 'Simhon Shalom': 0, 'Rivlin Reuven': 88}",15_ptv_490848.json,
22,10/26/1999,15,7,2,3509,501,1050,525,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Ze`evi Rechavam', 'Chazan Naomi', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Dayan Yael', 'Tal David']","{'Tarif Salah': 1348, 'Edelstein Yuli-Yoel': 0, 'Ze`evi Rechavam': 706, 'Chazan Naomi': 541, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 1144, 'Dayan Yael': 509, 'Tal David': 311}",15_ptv_490849.json,
23,11/1/1999,15,7,0,1626,232,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Gafni Moshe', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 1321, 'Edelstein Yuli-Yoel': 0, 'Gafni Moshe': 80, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 214, 'Sheetrit Meir': 11}",15_ptv_490850.json,
25,11/02/1999,15,13,2,3416,262,252,126,"['Tarif Salah', 'Eitan Michael', 'Gagula Itzhak', 'Dayan Yael', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Chazan Naomi', 'Hugi Ofer', 'Tal David', 'Katz Israel', 'Liberman Avigdor', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Simhon Shalom']","{'Tarif Salah': 1344, 'Eitan Michael': 682, 'Gagula Itzhak': 113, 'Dayan Yael': 228, 'Ze`evi Rechavam': 129, 'Sandberg Eliezer': 141, 'Chazan Naomi': 24, 'Hugi Ofer': 0, 'Tal David': 107, 'Katz Israel': 0, 'Liberman Avigdor': 139, 'Pines-Paz Ophir': 0, 'Peretz Yair': 48, 'Rivlin Reuven': 713, 'Simhon Shalom': 0}",15_ptv_490851.json,
26,11/8/1999,15,11,1,2608,237,0,0,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Orlev Zevulun', 'Gafni Moshe', 'Hugi Ofer', 'Cohen Amnon', 'Landver Sofa', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Simhon Shalom']","{'Tarif Salah': 964, 'Edelstein Yuli-Yoel': 0, 'Orlev Zevulun': 538, 'Gafni Moshe': 0, 'Hugi Ofer': 0, 'Cohen Amnon': 0, 'Landver Sofa': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 69, 'Rivlin Reuven': 476, 'Sheetrit Meir': 445, 'Simhon Shalom': 116}",15_ptv_490852.json,
27,11/09/1999,15,18,5,98752,5486,10566,2113,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Dayan Yael', 'Vilan Avshalom', 'Zeev Nissim', 'Sandberg Eliezer', 'Chazan Naomi', 'Katz Israel', 'Livnat Limor', 'Levy Maxim', 'Landver Sofa', 'Makhoul Issam', 'Milo Roni', 'Shaban Yitzhak', 'Pines-Paz Ophir', 'Peretz Yair', 'Rabin-Pelossof Dalia', 'Rivlin Reuven', 'Sheetrit Meir']","{'Tarif Salah': 10162, 'Edelstein Yuli-Yoel': 8703, 'Eitan Michael': 9470, 'Barakeh Mohammad': 9201, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Dayan Yael': 101, 'Vilan Avshalom': 8457, 'Zeev Nissim': 0, 'Sandberg Eliezer': 8516, 'Chazan Naomi': 10268, 'Katz Israel': 8575, 'Livnat Limor': 197, 'Levy Maxim': 0, 'Landver Sofa': 0, 'Makhoul Issam': 10253, 'Milo Roni': 5901, 'Shaban Yitzhak': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rabin-Pelossof Dalia': 0, 'Rivlin Reuven': 9623, 'Sheetrit Meir': 9891}",15_ptv_490853.json,
28,11/10/1999,15,16,3,432,27,335,111,"['Tarif Salah', 'Edelstein Yuli-Yoel', 'Eitan Michael', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Chazan Naomi', 'Cohen Amnon', 'Katz Israel', 'Levy Maxim', 'Landver Sofa', 'Nahari Meshulam', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Simhon Shalom']","{'Tarif Salah': 99, 'Edelstein Yuli-Yoel': 0, 'Eitan Michael': 0, 'Gagula Itzhak': 0, 'Galon Zehava': 0, 'Gafni Moshe': 8, 'Dehamshe Abdulmalik': 0, 'Sandberg Eliezer': 0, 'Chazan Naomi': 335, 'Cohen Amnon': 0, 'Katz Israel': 0, 'Levy Maxim': 0, 'Landver Sofa': 0, 'Nahari Meshulam': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 6, 'Rivlin Reuven': 275, 'Sheetrit Meir': 44, 'Simhon Shalom': 0}",15_ptv_490854.json,
29,11/15/1999,15,14,2,5627,401,280,140,"['Tarif Salah', 'Eitan Michael', 'Dehamshe Abdulmalik', 'Gagula Itzhak', 'Galon Zehava', 'Ze`evi Rechavam', 'Cohen Amnon', 'Katz Israel', 'Landver Sofa', 'Milo Roni', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 1617, 'Eitan Michael': 241, 'Dehamshe Abdulmalik': 0, 'Gagula Itzhak': 165, 'Galon Zehava': 280, 'Ze`evi Rechavam': 1770, 'Cohen Amnon': 0, 'Katz Israel': 0, 'Landver Sofa': 0, 'Milo Roni': 691, 'Pines-Paz Ophir': 0, 'Peretz Yair': 48, 'Peretz Amir': 603, 'Rivlin Reuven': 87, 'Sheetrit Meir': 391, 'Shtern Yuri': 14}",15_ptv_490855.json,
3,11/16/1999,15,9,2,4591,510,10,5,"['Tarif Salah', 'Galon Zehava', 'Dehamshe Abdulmalik', 'Hugi Ofer', 'Katz Israel', 'Landver Sofa', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri', 'Simhon Shalom']","{'Tarif Salah': 2107, 'Galon Zehava': 0, 'Dehamshe Abdulmalik': 0, 'Hugi Ofer': 27, 'Katz Israel': 113, 'Landver Sofa': 10, 'Peretz Yair': 44, 'Rivlin Reuven': 1658, 'Sheetrit Meir': 490, 'Shtern Yuri': 61, 'Simhon Shalom': 91}",15_ptv_490856.json,
31,11/17/1999,15,14,0,842,60,0,0,"['Tarif Salah', 'Orlev Zevulun', 'Eitan Michael', 'Gagula Itzhak', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Katz Israel', 'Levy Maxim', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri']","{'Tarif Salah': 414, 'Orlev Zevulun': 0, 'Eitan Michael': 185, 'Gagula Itzhak': 0, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 0, 'Katz Israel': 0, 'Levy Maxim': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 16, 'Peretz Amir': 73, 'Rivlin Reuven': 104, 'Sheetrit Meir': 50, 'Shtern Yuri': 0}",15_ptv_490857.json,
